add_ff_times,rm_ff_times
763.0,687.0
571.0,854.0
639.0,759.0
447.0,728.0
531.0,666.0
4762.0,574.0
2667.0,539.0
3409.0,3237.0
4901.0,4339.0
2501.0,7456.0
3572.0,697.0
2578.0,4392.0
415.0,3400.0
1989.0,2615.0
1267.0,322.0
4068.0,3500.0
2217.0,1641.0
5941.0,2748.0
5882.0,4077.0
329.0,4945.0
3442.0,2453.0
9601.0,13011.0
4108.0,757.0
3087.0,2081.0
7024.0,323.0
1692.0,2055.0
8298.0,1963.0
3250.0,1950.0
326.0,1767.0
1391.0,1814.0
2805.0,5834.0
2617.0,6212.0
9113.0,2534.0
331.0,2440.0
67215.0,495.0
3246.0,1946.0
1158.0,2081.0
1761.0,2272.0
1791.0,2197.0
1820.0,2732.0
1843.0,463.0
338.0,2593.0
312.0,1070.0
2051.0,3886.0
1295.0,3736.0
2432.0,501.0
1421.0,456.0
1997.0,459.0
1914.0,604.0
2409.0,536.0
357.0,539.0
1259.0,541.0
1982.0,530.0
2421.0,487.0
6757.0,529.0
1998.0,422.0
3326.0,446.0
3580.0,480.0
2042.0,2820.0
317.0,2053.0
6575.0,1641.0
1046.0,7908.0
1760.0,1450.0
1276.0,1669.0
7297.0,3030.0
1231.0,2933.0
1891.0,1628.0
2630.0,1611.0
1850.0,2830.0
2018.0,1687.0
1988.0,2795.0
7540.0,2764.0
1869.0,1512.0
1803.0,1616.0
1948.0,1558.0
1672.0,2491.0
1884.0,974.0
2058.0,1066.0
2006.0,353.0
6044.0,335.0
1905.0,726.0
532.0,643.0
548.0,683.0
1909.0,724.0
2130.0,647.0
1880.0,854.0
1794.0,869.0
2063.0,816.0
1996.0,607.0
2076.0,5602.0
2054.0,3673.0
1890.0,1494.0
2097.0,372.0
2445.0,466.0
2102.0,2795.0
2164.0,10738.0
2229.0,10809.0
2180.0,457.0
4914.0,679.0
2809.0,27.0
2290.0,532.0
1816.0,524.0
398.0,216.0
381.0,72.0
401.0,80.0
382.0,81.0
2246.0,78.0
896.0,3174.0
5795.0,729.0
2505.0,773.0
2414.0,748.0
398.0,710.0
898.0,725.0
1797.0,327.0
10855.0,222.0
4664.0,190.0
4570.0,1723.0
4625.0,336.0
3359.0,2925.0
3580.0,8856.0
6409.0,1323.0
3540.0,5193.0
1053.0,5764.0
906.0,3760.0
3464.0,912.0
1017.0,5462.0
3319.0,8023.0
3762.0,7231.0
3702.0,6623.0
465.0,2983.0
380.0,3272.0
456.0,911.0
512.0,1260.0
431.0,1664.0
502.0,919.0
485.0,461.0
427.0,1787.0
553.0,838.0
493.0,970.0
518.0,1203.0
530.0,913.0
527.0,784.0
531.0,906.0
482.0,1012.0
590.0,856.0
550.0,861.0
536.0,990.0
464.0,638.0
536.0,724.0
476.0,617.0
471.0,695.0
409.0,696.0
506.0,681.0
577.0,542.0
463.0,688.0
457.0,605.0
428.0,687.0
530.0,727.0
473.0,609.0
522.0,766.0
457.0,805.0
429.0,724.0
459.0,746.0
500.0,602.0
460.0,605.0
504.0,593.0
509.0,608.0
526.0,765.0
439.0,629.0
440.0,695.0
475.0,906.0
475.0,878.0
460.0,864.0
453.0,926.0
388.0,695.0
411.0,750.0
488.0,838.0
501.0,828.0
493.0,664.0
9665.0,678.0
2581.0,1357.0
2631.0,1497.0
1921.0,825.0
3249.0,
2996.0,
1724.0,
1554.0,
2781.0,
1720.0,
1720.0,
2963.0,
1700.0,
1505.0,
2647.0,
2720.0,
2633.0,
1588.0,
1801.0,
3187.0,
4000.0,
1695.0,
2840.0,
2803.0,
1802.0,
2910.0,
2630.0,
1731.0,
2942.0,
2706.0,
2837.0,
2705.0,
3348.0,
2791.0,
3144.0,
2861.0,
2616.0,
1924.0,
2883.0,
2709.0,
1682.0,
3569.0,
2765.0,
990.0,
322.0,
3195.0,
284.0,
773.0,
727.0,
606.0,
880.0,
937.0,
933.0,
340.0,
856.0,
650.0,
